Artikelid,Namn,Namn2,Varugrupp,Varnummer,Prisinklmoms,Ursprung,Producent,Argang,Alkoholhalt,Typ,RavarorBeskrivning
7635444,Sentio,Aurea Cuvee Rose Extra dry,Mousserande vin,77182,134.0,,Sentio Wines,,11.00%,Rose,
7635445,Sentio,Prosecco Brut,Mousserande vin,77449,134.0,Venetien,Sentio Wines,,11.00%,Vitt Torrt,
7640668,The Grand Zin,Signature Blend Organic,Rott vin,75142,99.0,,House of Big Wines,2015.0,13.50%,Fruktigt & Smakrikt,"Zinfandel, petit sirah, carignan och syrah."
764184,Grüner Veltliner,Pratsch,Vitt vin,2922,89.0,Niederosterreich,Pratsch,2016.0,12.50%,Friskt & Fruktigt,Grüner veltliner.
764759,Gutevin,adel,Vitt vin,79632,297.0,Gotlands lan,Gute Vingard AB,2011.0,13.00%,Sott,Solaris.
766211,Ernst Kirchsteigers,Utvalda Fran Toscana,Rott vin,79635,99.0,Toscana,Domaine Wines,2016.0,13.50%,Fruktigt & Smakrikt,Sangiovese och merlot.
767734,Chablis,Cuvee Leonce Bocquet,Vitt vin,5383,149.0,Bourgogne,Patriarche Père & Fils,2016.0,12.50%,Friskt & Fruktigt,Chardonnay.
7682136,Beaujolais Nouveau,Les grand Chais de France,Rott vin,94002,75.0,Bourgogne,Les Grand Chais de France,2017.0,12.50%,Mjukt & Barigt,Gamay.
7682186,Skepparps Grand Prix,Mousserande,Mousserande vin,99267,299.0,,Skepparps Vingard,2015.0,12.50%,Vitt Torrt,Solaris.
768221,Lo Sparviere,Franciacorta Brut,Mousserande vin,77926,219.0,Lombardiet,Lo Sparviere,2011.0,13.00%,Vitt Torrt,
768266,Lo Sparviere,Franciacorta Extra Brut,Mousserande vin,77927,229.0,Lombardiet,Lo Sparviere,,13.00%,Vitt Torrt,
768269,Lo Sparviere,Franciacorta Satèn Brut,Mousserande vin,77928,239.0,Lombardiet,Lo Sparviere,,13.00%,Vitt Torrt,
768546,ERA,Prosecco Extra Dry,Mousserande vin,76326,99.0,Venetien,Botter,,11.00%,Vitt Torrt,
768976,NVY,Envy Passion Fruit,Mousserande vin,77929,79.0,,Viña Valdivieso,,8.50%,ovrigt,Vitt mousserande vin och fruktkott av passionsfrukt.
769211,Maria Montazami Wine Collection,Chardonnay,Vitt vin,79665,99.0,Kalifornien,Fondberg & Co,2015.0,12.50%,Fylligt & Smakrikt,Chardonnay.
769820,Armand de Brignac,Brut Gold,Mousserande vin,77931,4870.0,Champagne,Armand de Brignac,,12.50%,Vitt Torrt,
769829,Armand de Brignac,Brut Gold,Mousserande vin,77931,2268.0,Champagne,Armand de Brignac,,12.50%,Vitt Torrt,
769835,Armand de Brignac,Brut Gold,Mousserande vin,77931,17715.0,Champagne,Armand de Brignac,,12.50%,Vitt Torrt,
769840,Armand de Brignac,Brut Rose,Mousserande vin,77932,3453.0,Champagne,Armand de Brignac,,12.50%,Rose,
769847,Armand de Brignac,Brut Rose,Mousserande vin,77932,7407.0,Champagne,Armand de Brignac,,12.50%,Rose,
770102,Poliziano,Rosso di Montepulciano,Rott vin,70325,129.0,Toscana,Poliziano,2015.0,13.50%,Kryddigt & Mustigt,
770181,Castiglion del Bosco,Brunello di Montalcino,Rott vin,70619,259.0,Toscana,Castiglion del Bosco,2012.0,14.00%,Kryddigt & Mustigt,Brunello (sangiovese).
770250,Tsarine,Cuvee Premium Brut,Mousserande vin,77934,299.0,Champagne,Chanoine Frères,,12.00%,Vitt Torrt,
770420,Recioto della Valpolicella Classico,Zeni,Rott vin,73060,188.0,Venetien,Fratelli Zeni,2014.0,13.00%,Sott,
770540,Dominio de la Vega,Brut Reserva Especial,Mousserande vin,77938,296.0,Cava,Dominio de la Vega,2008.0,11.50%,Vitt Torrt,
770563,Dominio de la Vega,Brut,Mousserande vin,77939,165.0,Cava,Dominio de la Vega,,12.00%,Vitt Torrt,
770678,Mas Janeil,Le Petit Pas,Rott vin,79687,99.0,Languedoc-Roussillon,François Lurton,2016.0,13.00%,Kryddigt & Mustigt,"50% syrah, 20% grenache, 20% carignan och 10% mourvèdre."
770836,Pongracz,,Mousserande vin,76328,279.0,Western Cape,Cave de Pongracz,,12.00%,Vitt Torrt,
771157,La Jouvencelle,,Vitt vin,79701,99.0,Loiredalen,Domaine de Rocheville,2012.0,12.50%,Friskt & Fruktigt,Chenin blanc.
771560,Monte Carbonare,Soave Classico,Vitt vin,79720,203.0,Venetien,Suavia,2015.0,13.00%,Friskt & Fruktigt,Garganega.
771587,Gonet,Signature Blanc de Blancs Brut,Mousserande vin,77942,446.0,Champagne,Philippe Gonet,,12.00%,Vitt Torrt,
771736,Pongrácz,Rose,Mousserande vin,77260,319.0,Western Cape,Cave de Pongracz,,12.50%,Rose,
771746,Pongrácz,Rose,Mousserande vin,77260,89.0,Western Cape,Cave de Pongracz,,11.50%,Rose,
771759,Desiderius,Brut,Mousserande vin,77948,339.0,Western Cape,Cave de Pongracz,2009.0,12.00%,Vitt Torrt,
774136,Françoise Bedel,Origin'Elle Extra Brut,Mousserande vin,77949,379.0,Champagne,Françoise Bedel & Fils,,12.00%,Vitt Torrt,
774322,Gardo Morris,Noble Riesling,Vitt vin,2125,100.0,Canterbury,Gardo Morris Wines,2011.0,11.00%,Sott,Riesling.
774796,Château de Saint Cosme,Côtes-du-Rhône,Rott vin,74503,109.0,Rhonedalen,Château de Saint Cosme,2016.0,14.00%,Kryddigt & Mustigt,Syrah.
775922,Biurko,Tempranillo,Rott vin,2045,79.0,Rioja,Bodegas Biurko Gorri SAL,2015.0,13.00%,Fruktigt & Smakrikt,Tempranillo.
776291,Gemtree Bloodstone,Shiraz,Rott vin,2083,125.0,South Australia,Gemtree Vineyards,2016.0,14.50%,Fruktigt & Smakrikt,Shiraz.
776431,Novas,Gran Reserva Chardonnay,Vitt vin,2000,99.0,Aconcagua,Viñedos Emiliana,2016.0,13.50%,Friskt & Fruktigt,Chardonnay.
777019,Santa Tresa Capoccia,Red,Rott vin,79836,85.0,Sicilien,Feudo di Santa Tresa S.r.L,2014.0,13.50%,Kryddigt & Mustigt,Nero d'avola.
777287,Sumarroca,Brut Rose Pinot Noir,Mousserande vin,7726,101.0,Cava,Bodegues Sumarroca,,12.50%,Rose,Pinot noir.
777709,Tenuta Vignega,Valpolicella Ripasso Superiore,Rott vin,3040,135.0,Venetien,Azienda Agricola Bettili Cristiana,2015.0,13.50%,Kryddigt & Mustigt,"Corvina, rondinella, molinara och oseleta."
777770,Brunello di Montalcino,Fattoi,Rott vin,3097,239.0,Toscana,Fattoi Ofelio & Figli Soc. Sempl. - Soc. Agr.,2012.0,14.50%,Stramt & Nyanserat,Sangiovese.
778043,Meerlust Chardonnay,,Vitt vin,79869,198.0,Western Cape,Meerlust,2016.0,13.00%,Fylligt & Smakrikt,
778266,Motzenbacker Auslese Flug Des Falken,Riesling,Vitt vin,79876,299.0,Pfalz,Menger-Krug,2011.0,10.00%,Sott,
778375,Cuperly,Grande Reserve Carte Verte Brut,Mousserande vin,7734,349.0,Champagne,S.A. Champagne Cuperly,,12.00%,Vitt Torrt,"43% pinot meunier, 30% pinot noir och 27% chardonnay."
778384,Clotilde Davenne,Brut Extra Cremant de Bourgogne,Mousserande vin,7725,149.0,Bourgogne,Clotilde Davenne,,12.50%,Vitt Torrt,60% pinot noir och 40% chardonnay.
778390,Chateau Ste Michelle,Chardonnay,Vitt vin,6447,119.0,Washington State,Ste Michelle,2015.0,14.00%,Fylligt & Smakrikt,Chardonnay.
778804,Terre di Cariano,Amarone della Valpolicella Classico,Rott vin,3122,319.0,Venetien,Cecilia Beretta,2010.0,15.50%,Kryddigt & Mustigt,"60% corvina, 25% rondinella, 5% corvinone, 5% croatina och 5% oseleta."
779409,Château Tanesse,,Rott vin,3157,102.0,Bordeaux,Château Tanesse,2014.0,13.00%,Stramt & Nyanserat,"49% merlot, 38% cabernet sauvignon, 11% cabernet franc och 2% petit verdot."
779863,Duval-Leroy,Brut Rose Prestige Premier Cru,Mousserande vin,7901,499.0,Champagne,Duval-Leroy,,12.00%,Rose,
779881,Tajano Rosso Piceno,Umani Ronchi,Rott vin,6090,85.0,Marche,Umani Ronchi,2016.0,13.00%,Kryddigt & Mustigt,75% montepulciano och 25% sangiovese.
780838,Barbera d'Alba Superiore,Josetta Saffirio,Rott vin,71848,179.0,Piemonte,Josetta Saffirio,2015.0,14.00%,Kryddigt & Mustigt,Barbera.
781395,L Chablis,Domaine Laroche,Vitt vin,79925,145.0,Bourgogne,Laroche,2016.0,12.00%,Friskt & Fruktigt,Chardonnay.
781408,Tommasi Adorato,Appassionato,Vitt vin,2147,269.0,,Tommasi Viticoltori,2015.0,12.50%,Druvigt & Blommigt,Garganega samt ovriga druvsorter.
782781,Tavernello Organic,Sangiovese,Rott vin,79981,69.0,Emilia-Romagna,Caviro,2015.0,13.00%,Mjukt & Barigt,Sangiovese.
782834,El Miracle,Cava Brut,Mousserande vin,7700,75.0,Cava,Vicente Gandía,,11.50%,Vitt Torrt,60% macabeo och 40% chardonnay.
783144,Tavernello Organico,Trebbiano Chardonnay,Vitt vin,79289,69.0,Emilia-Romagna,Caviro,2016.0,12.00%,Friskt & Fruktigt,Trebbiano och chardonnay.
783740,Les Dauphins,Côtes du Rhône Organic Rouge,Rott vin,72458,99.0,Rhonedalen,Cellier des Dauphins,2016.0,14.00%,Fruktigt & Smakrikt,
